WIID,Description,Type,Status,Date
107813689,Verify Account Position,WI1,Open,3/7/2024
107813580,Generate Yearly Report for Vendor,WI4,Open,9/9/2019
107813684,Verify Account Position,WI1,Open,12/4/2017
107813680,Verify Account Position,WI1,Open,12/23/2019
107813587,Generate Yearly Report for Vendor,WI4,Open,11/29/2019
107813683,Verify Account Position,WI1,Open,2/27/2018
107813668,Verify Account Position,WI1,Open,3/13/2021
107813600,Process Vendor Invoice,WI3,Open,1/5/2025
107813560,Calculate Client Security Hash,WI5,Open,5/12/2023
107813670,Verify Account Position,WI1,Open,11/12/2017
107813634,Research Client Check Copy,WI2,Open,1/3/2022
107813667,Verify Account Position,WI1,Open,7/17/2025
107813597,Process Vendor Invoice,WI3,Open,8/27/2023
107813648,Research Client Check Copy,WI2,Open,3/18/2025
107813657,Verify Account Position,WI1,Open,5/7/2024
107813646,Research Client Check Copy,WI2,Open,6/18/2022
107813651,Research Client Check Copy,WI2,Open,10/15/2025
107813608,Research Client Check Copy,WI2,Open,2/7/2020
107813556,Calculate Client Security Hash,WI5,Open,1/12/2023
107813564,Calculate Client Security Hash,WI5,Open,5/2/2023
107813624,Research Client Check Copy,WI2,Open,4/7/2024
107813625,Research Client Check Copy,WI2,Open,5/30/2022
107813678,Verify Account Position,WI1,Open,12/17/2017
107813604,Research Client Check Copy,WI2,Open,1/17/2019
107813679,Verify Account Position,WI1,Open,11/21/2017
107813652,Verify Account Position,WI1,Open,8/6/2020
107813571,Calculate Client Security Hash,WI5,Open,9/8/2021
107813617,Research Client Check Copy,WI2,Open,12/15/2019
107813584,Generate Yearly Report for Vendor,WI4,Open,4/13/2017
107813673,Verify Account Position,WI1,Open,3/1/2022
107813642,Research Client Check Copy,WI2,Open,11/22/2017
107813591,Process Vendor Invoice,WI3,Open,12/30/2019
107813630,Research Client Check Copy,WI2,Open,11/1/2018
107813605,Research Client Check Copy,WI2,Open,5/19/2025
107813649,Research Client Check Copy,WI2,Open,10/1/2025
107813602,Research Client Check Copy,WI2,Open,8/6/2021
107813586,Generate Yearly Report for Vendor,WI4,Open,10/3/2020
107813613,Research Client Check Copy,WI2,Open,3/29/2022
107813692,Verify Account Position,WI1,Open,10/16/2017
107813574,Calculate Client Security Hash,WI5,Open,4/19/2017
107813637,Research Client Check Copy,WI2,Open,5/27/2024
107813594,Process Vendor Invoice,WI3,Open,9/26/2022
107813661,Verify Account Position,WI1,Open,2/19/2024
107813663,Verify Account Position,WI1,Open,9/8/2022
107813615,Research Client Check Copy,WI2,Open,8/2/2020
107813619,Research Client Check Copy,WI2,Open,5/12/2025
107813676,Verify Account Position,WI1,Open,11/23/2024
107813685,Verify Account Position,WI1,Open,3/8/2019
107813606,Research Client Check Copy,WI2,Open,1/30/2017
107813563,Calculate Client Security Hash,WI5,Open,6/16/2022
107813612,Research Client Check Copy,WI2,Open,9/18/2024
107813561,Calculate Client Security Hash,WI5,Open,3/27/2020
107813588,Process Vendor Invoice,WI3,Open,3/3/2019
107813590,Process Vendor Invoice,WI3,Open,2/16/2024
107813578,Generate Yearly Report for Vendor,WI4,Open,9/30/2023
107813635,Research Client Check Copy,WI2,Open,5/15/2023
107813672,Verify Account Position,WI1,Open,7/24/2017
107813585,Generate Yearly Report for Vendor,WI4,Open,5/18/2018
107813665,Verify Account Position,WI1,Open,8/9/2022
107813582,Generate Yearly Report for Vendor,WI4,Open,2/5/2024
107813686,Verify Account Position,WI1,Open,1/20/2023
107813655,Verify Account Position,WI1,Open,10/27/2024
107813638,Research Client Check Copy,WI2,Open,9/11/2017
107813674,Verify Account Position,WI1,Open,12/10/2019
107813628,Research Client Check Copy,WI2,Open,7/8/2020
107813609,Research Client Check Copy,WI2,Open,1/17/2022
